StockCode;Description;Quantity;UnitPrice;PurchaseDate;CustomerID;Country;Satisfied
85123A;WHITE HANGING HEART T-LIGHT HOLDER;6;25,5;12/01/2010 8:26;17850;United Kingdom;VERDADERO
71053;WHITE METAL LANTERN;6;33,9;12/01/2010 8:26;17850;United Kingdom;FALSO
84406B;CREAM CUPID HEARTS COAT HANGER;8;27,5;12/01/2010 8:26;17850;United Kingdom;FALSO
84029G;KNITTED UNION FLAG HOT WATER BOTTLE;6;33,9;12/01/2010 8:26;17850;United Kingdom;VERDADERO
84029E;RED WOOLLY HOTTIE WHITE HEART.;6;33,9;12/01/2010 8:26;17850;United Kingdom;FALSO
22752;SET 7 BABUSHKA NESTING BOXES;2;76,5;12/01/2010 8:26;17850;United Kingdom;FALSO
21730;GLASS STAR FROSTED T-LIGHT HOLDER;6;42,5;12/01/2010 8:26;17850;United Kingdom;VERDADERO
22633;HAND WARMER UNION JACK;6;18,5;12/01/2010 8:28;17850;United Kingdom;VERDADERO
22632;HAND WARMER RED POLKA DOT;6;18,5;12/01/2010 8:28;17850;United Kingdom;FALSO
84879;ASSORTED COLOUR BIRD ORNAMENT;32;16,9;12/01/2010 8:34;13047;United Kingdom;VERDADERO
22745;POPPY'S PLAYHOUSE BEDROOM ;6;2,1;12/01/2010 8:34;13047;United Kingdom;FALSO
22748;POPPY'S PLAYHOUSE KITCHEN;6;2,1;12/01/2010 8:34;13047;United Kingdom;VERDADERO
22749;FELTCRAFT PRINCESS CHARLOTTE DOLL;8;37,5;12/01/2010 8:34;13047;United Kingdom;VERDADERO
22310;IVORY KNITTED MUG COSY ;6;16,5;12/01/2010 8:34;13047;United Kingdom;VERDADERO
84969;BOX OF 6 ASSORTED COLOUR TEASPOONS;6;42,5;12/01/2010 8:34;13047;United Kingdom;VERDADERO
22623;BOX OF VINTAGE JIGSAW BLOCKS ;3;49,5;12/01/2010 8:34;13047;United Kingdom;VERDADERO
22622;BOX OF VINTAGE ALPHABET BLOCKS;2;99,5;12/01/2010 8:34;13047;United Kingdom;VERDADERO
21754;HOME BUILDING BLOCK WORD;3;59,5;12/01/2010 8:34;13047;United Kingdom;VERDADERO
21755;LOVE BUILDING BLOCK WORD;3;59,5;12/01/2010 8:34;13047;United Kingdom;FALSO
21777;RECIPE BOX WITH METAL HEART;4;79,5;12/01/2010 8:34;13047;United Kingdom;VERDADERO
48187;DOORMAT NEW ENGLAND;4;79,5;12/01/2010 8:34;13047;United Kingdom;FALSO
22960;JAM MAKING SET WITH JARS;6;42,5;12/01/2010 8:34;13047;United Kingdom;FALSO
22913;RED COAT RACK PARIS FASHION;3;49,5;12/01/2010 8:34;13047;United Kingdom;VERDADERO
22912;YELLOW COAT RACK PARIS FASHION;3;49,5;12/01/2010 8:34;13047;United Kingdom;VERDADERO
22914;BLUE COAT RACK PARIS FASHION;3;49,5;12/01/2010 8:34;13047;United Kingdom;FALSO
21756;BATH BUILDING BLOCK WORD;3;59,5;12/01/2010 8:35;13047;United Kingdom;FALSO
22728;ALARM CLOCK BAKELIKE PINK;24;37,5;12/01/2010 8:45;12583;France;VERDADERO
22727;ALARM CLOCK BAKELIKE RED ;24;37,5;12/01/2010 8:45;12583;France;FALSO
22726;ALARM CLOCK BAKELIKE GREEN;12;37,5;12/01/2010 8:45;12583;France;FALSO
21724;PANDA AND BUNNIES STICKER SHEET;12;8,5;12/01/2010 8:45;12583;France;FALSO
21883;STARS GIFT TAPE ;24;6,5;12/01/2010 8:45;12583;France;FALSO
10002;INFLATABLE POLITICAL GLOBE ;48;8,5;12/01/2010 8:45;12583;France;FALSO
21791;VINTAGE HEADS AND TAILS CARD GAME ;24;12,5;12/01/2010 8:45;12583;France;VERDADERO
21035;SET/2 RED RETROSPOT TEA TOWELS ;18;29,5;12/01/2010 8:45;12583;France;FALSO
22326;ROUND SNACK BOXES SET OF4 WOODLAND ;24;29,5;12/01/2010 8:45;12583;France;VERDADERO
22629;SPACEBOY LUNCH BOX ;24;19,5;12/01/2010 8:45;12583;France;FALSO
22659;LUNCH BOX I LOVE LONDON;24;19,5;12/01/2010 8:45;12583;France;VERDADERO
22631;CIRCUS PARADE LUNCH BOX ;24;19,5;12/01/2010 8:45;12583;France;FALSO
22661;CHARLOTTE BAG DOLLY GIRL DESIGN;20;8,5;12/01/2010 8:45;12583;France;VERDADERO
21731;RED TOADSTOOL LED NIGHT LIGHT;24;16,5;12/01/2010 8:45;12583;France;FALSO
22900; SET 2 TEA TOWELS I LOVE LONDON ;24;29,5;12/01/2010 8:45;12583;France;VERDADERO
21913;VINTAGE SEASIDE JIGSAW PUZZLES;12;37,5;12/01/2010 8:45;12583;France;FALSO
22540;MINI JIGSAW CIRCUS PARADE ;24;4,2;12/01/2010 8:45;12583;France;FALSO
22544;MINI JIGSAW SPACEBOY;24;4,2;12/01/2010 8:45;12583;France;VERDADERO
22492;MINI PAINT SET VINTAGE ;36;6,5;12/01/2010 8:45;12583;France;FALSO
